salary_id,employer_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,total_experience_years_d
95,.gov,NY,US,42.66,-73.79,architect,Other,,18.0,16.0,119000.0,0.0,2000.0,0,,3/21/2016 13:12,overDecade
100,hedge fund,,,,,investment professional,Other,,10.0,3.5,500000.0,50000.0,250000.0,150000,This is low relative to field/experience.,3/21/2016 13:12,other
101,twilio,,,,,software engineer new grad,Software,,1.0,1.0,115000.0,10000.0,,~80k options,,3/21/2016 13:12,other
103,stronghold data,MO,US,38.0,-97.0,teir two tech,Other,,9.0,4.0,38000.0,0.0,1000.0,0,,3/21/2016 13:12,other
104,self-employed,,JE,49.25,-2.17,"consultant, cto as needed",Other,,8.0,1.0,325000.0,0.0,0.0,0,,3/21/2016 13:13,other
105,employer x,,,,,web developer,Web,,8.0,2.0,100000.0,,,,,3/21/2016 13:13,other
106,financial sector,,,,,software analyst,Data,,2.0,1.0,23000.0,0.0,500.0,0,,3/21/2016 13:13,other
109,comcast,PA,US,39.95,-75.16,python engineer,Engineering,,5.0,1.0,138000.0,0.0,0.0,0,"W2 Contractor, 70$/hr. ",3/21/2016 13:13,other
112,linkedin,CA,US,37.38,-121.89,site reliability engineer,Engineering,,4.0,1.0,140000.0,,14000.0,43750,,3/21/2016 13:13,other
114,nara logics,MA,US,42.35,-71.06,software developer,Software,,12.0,4.0,115000.0,,,,"Startup, granted ~0.4% stock options",3/21/2016 13:14,overDecade
115,cloudflare,,,,,solution eningeer,Other,,,,83000.0,,25000.0,,,3/21/2016 13:14,other
117,mckinsey & company,,,,,business analyst,Data,,1.5,1.5,90000.0,10000.0,22000.0,0,,3/21/2016 13:14,other
118,small b2b company,,ES,40.0,-4.0,system administrator,Management,,10.0,10.0,1575.0,0.0,3000.0,0,,3/21/2016 13:14,other
120,microsoft,WA,US,47.68,-122.12,software engineer 1,Software,1,1.0,1.0,105000.0,15000.0,,50000,,3/21/2016 13:14,other
124,nyc singles looking to fuck,NY,US,38.0,-97.0,horny,Other,,3.0,0.5,420000.0,69.0,69.0,69,NOT A SCAM! FUCK HOT SINGLES TONIGHT!,3/21/2016 13:14,other
125,startup,CA,US,37.77,-122.41,software engineer,Software,,2.5,1.0,100000.0,0.0,0.0,,Completed coding bootcamp in 2013,3/21/2016 13:14,other
127,cornell,NY,US,42.44,-76.5,phd student,Other,,4.0,4.0,28500.0,0.0,0.0,0,,3/21/2016 13:14,other
128,microsoft,WA,US,47.68,-122.12,sde,Software,,4.0,2.0,275000.0,0.0,2.0,Part of Annual Bonus,,3/21/2016 13:14,other
129,booking,,,,,perl developer,Software,,10.0,1.0,61.7,,25000.0,35k USD,,3/21/2016 13:15,other
130,amazon,,,,,software development engineer,Software,,0.0,1.0,95000.0,22000.0,20000.0,52000,,3/21/2016 13:15,other
132,too small to say,OK,US,35.46,-97.51,web developer general it,Web,,10.0,7.5,88000.0,0.0,8000.0,2500,,3/21/2016 13:15,other
135,ibm,,,,,linux engineer,Engineering,,1.0,1.0,84000.0,,,,,3/21/2016 13:15,other
136,synopsys,,,,,"software engineer, sr 1",Software,1,3.0,2.0,115000.0,0.0,10000.0,5000,,3/21/2016 13:15,other
138,analytics company,NC,US,35.82,-78.65,software developer,Software,,11.0,2.0,103000.0,,12000.0,,,3/21/2016 13:16,overDecade
142,epic,WI,US,42.98,-89.53,software developer,Software,,4.0,2.0,94000.0,,2000.0,,,3/21/2016 13:16,other
143,evry,,SE,62.0,15.0,consultant,Other,,3.0,2.0,380000.0,,,,,3/21/2016 13:16,other
151,b2b,,,,,senior developer,Software,Senior,10.0,3.0,140000.0,0.0,10000.0,0,,3/21/2016 13:17,other
152,texas tech  system,TX,US,33.57,-101.87,programmer analyst iii,Data,3,7.0,3.0,55000.0,0.0,0.0,0,,3/21/2016 13:17,other
153,unc-ch/ncsu joint biomedical engr. dept,NC,US,35.82,-78.65,phd student,Other,,4.0,1.0,24073.0,0.0,0.0,0,NIH Paygrade covers Health+Tuition,3/21/2016 13:17,other
156,investment bank,NY,US,40.71,-73.99,m&a analyst,Data,,1.0,1.0,85000.0,15000.0,70000.0,0,Soul sucking,3/21/2016 13:17,other
158,microsoft,,,,,software engineer,Software,,3.0,0.0,86742.0,0.0,8532.0,å£3500,,3/21/2016 13:17,other
159,apple,,,,,senior software engineer,Software,Senior,10.0,2.0,151000.0,20000.0,40000.0,10000,,3/21/2016 13:17,other
161,ihs,,PL,52.0,20.0,software engineer,Software,,4.0,2.0,30000.0,,,2500,,3/21/2016 13:17,other
162,conde nast,NY,US,40.71,-73.99,software engineer - level 2,Software,2,8.0,4.0,112000.0,0.0,2.0,0,,3/21/2016 13:17,other
166,pariveda solutions,,,,,consultant ii,Other,2,3.0,2.0,77000.0,5000.0,0.0,,Pay is uniform across all markets with exception of NY and SF. Insane  benefits.,3/21/2016 13:18,other
167,mid-size fundraising startup,CA,US,37.77,-122.41,senior software engineer,Software,Senior,11.0,0.0,165000.0,0.0,0.0,0.15%,,3/21/2016 13:18,overDecade
168,starbucks coffee company,WA,US,38.0,-97.0,senior application developer,Software,Senior,10.0,3.0,127000.0,0.0,15.0,10,,3/21/2016 13:18,other
175,tumblr,,,,,content strategist/blogger advocate,Other,,,2.0,129857.0,,,,,3/21/2016 13:19,other
176,linkedin,,,,,senior web developer,Web,Senior,10.0,4.0,165000.0,,15000.0,50000,,3/21/2016 13:19,other
180,yahoo!,,,,,senior software development engineer,Software,Senior,10.0,6.0,93000.0,15000.0,9000.0,,,3/21/2016 13:20,other
182,factset,,,,,software engineer,Software,,5.0,3.0,120000.0,5000.0,0.0,0,,3/21/2016 13:20,other
184,tango.me,,,,,senior data engineer,Data,Senior,10.0,1.0,130000.0,,,,,3/21/2016 13:20,other
185,jp morgan,,,,,senior java dev,Other,Senior,8.0,5.0,45000.0,0.0,3000.0,0,,3/21/2016 13:21,other
186,microsoft,,,,,sde ii,Software,2,4.0,4.0,125000.0,50000.0,10000.0,5000,,3/21/2016 13:21,other
187,google nyc,,,,,swe iii,Software,3,10.0,1.0,135500.0,50000.0,22300.0,43700,signing bonus in form of paid relocation,3/21/2016 13:21,other
189,rockfish interactive,,,,,developer ii,Software,2,5.0,2.0,65000.0,0.0,1950.0,0,,3/21/2016 13:21,other
191,apple,CA,US,37.3,-122.09,senior system engineer,Engineering,Senior,9.0,1.0,130000.0,20000.0,,40000,,3/21/2016 13:21,other
193,amazon,WA,US,47.61,-122.33,ux designer ii,Other,2,1.0,1.0,12000.0,55000.0,15000.0,20000,,3/21/2016 13:21,other
195,walmartlabs,CA,US,37.38,-122.01,principal/lead software engineer,Software,,14.0,4.0,190000.0,150000.0,50000.0,75000,,3/21/2016 13:21,overDecade
205,iceland,,,,,sales assistant,Other,,0.0,0.0,8000.0,0.0,0.0,0,"Great retail job, å£7.98 an hour, higher than the competition bar from Aldi, Lidl ",3/21/2016 13:22,other
211,intel,OR,US,45.52,-122.85,computer hardware engineer,Engineering,,1.5,1.5,72000.0,0.0,0.0,0,,3/21/2016 13:23,other
212,google,,,,,senior software engineer,Software,Senior,15.0,5.0,178000.0,15000.0,50000.0,100000,Love every day of my job,3/21/2016 13:23,overDecade
214,vertafore,,,,,software engineer in devops i,Software,1,1.0,1.0,50000.0,0.0,,0,"perks include onsite barristas, free drinks several expense paid corporate events a year (party cruise, etc.)",3/21/2016 13:23,other
215,amazon,WA,US,47.61,-122.33,ux designer ii,Other,2,1.0,1.0,120000.0,0.0,0.0,0,,3/21/2016 13:26,other
216,caesartenders,,,,,software engineer,Software,,7.0,2.0,62000.0,0.0,0.0,0,,3/21/2016 13:23,other
217,small ~15 startup,,IL,31.47,35.13,senior software engineer,Software,Senior,8.0,2.0,90000.0,,,,Annual stock exists but don't remember what it is,3/21/2016 13:23,other
219,municipality,,DE,51.0,9.0,software developer,Software,,11.0,7.0,54100.0,,3595.0,,,3/21/2016 13:23,overDecade
222,microsoft,WA,US,47.61,-122.21,software engineer 2,Software,2,4.0,3.5,115000.0,50000.0,15000.0,7500,,3/21/2016 13:23,other
223,startup,,,,,lead engineer,Engineering,,7.0,0.0,78000.0,,,,,3/21/2016 13:23,other
227,small web biz,,,,,engineer,Engineering,,2.0,0.2,140.0,10.0,,,,3/21/2016 13:24,other
230,analyst warehouse,TX,US,38.0,-97.0,software developer,Software,,10.0,1.0,90000.0,0.0,0.0,0,,3/21/2016 13:24,other
231,self,,,,,owner,Other,,12.0,5.0,80000.0,0.0,120000.0,0,,3/21/2016 13:24,overDecade
234,vmware,,,,,sr. mts,Other,Senior,10.0,1.0,155000.0,25000.0,15000.0,,,3/21/2016 13:24,other
235,amazon,,,,,sdeii,Software,,6.0,4.0,130000.0,,,150000,Via Acquisition,3/21/2016 13:24,other
237,fyber gmbh,,,,,senior software developer,Software,Senior,9.0,4.0,65000.0,3000.0,0.0,0,,3/21/2016 13:24,other
239,twilio,,,,,senior software engineer,Software,Senior,2.5,2.5,132000.0,5000.0,0.0,,,3/21/2016 13:24,other
245,facebook,,,,,software engineer,Software,,6.0,4.0,225000.0,50000.0,45000.0,200000,,3/21/2016 13:24,other
249,dupont pioneer,IA,US,41.68,-93.7,software developer,Software,,10.0,3.0,125000.0,10000.0,15000.0,0,,3/21/2016 13:25,other
252,newspaper company,CA,US,38.0,-97.0,cto,Management,,8.0,1.0,100000.0,0.0,0.0,0,,3/21/2016 13:25,other
253,bhhc,NE,US,41.15,-95.92,fp&a analyst,Data,,3.0,3.0,46500.0,0.0,0.0,0,,3/21/2016 13:25,other
254,optum,MN,US,44.96,-93.26,software engineer,Software,,6.0,1.0,85000.0,3000.0,5000.0,1000,,3/21/2016 13:25,other
255,mathworks,,,,,senior software engineer,Software,Senior,10.0,4.0,115000.0,0.0,10000.0,0,,3/21/2016 13:25,other
256,american express,AZ,US,33.45,-112.06,intern,Other,Intern,0.0,0.0,60000.0,5000.0,,,"Summer Intern, June-August",3/21/2016 13:25,other
261,hewlett packard enterprise,,,,,software engineer,Software,,1.0,1.0,100000.0,10000.0,0.0,3000,,3/21/2016 13:26,other
262,salesforce,WA,US,47.61,-122.33,senior software engineer,Software,Senior,,2.0,125000.0,,18000.0,,,3/21/2016 13:26,other
264,autodesk,,,,,software engineer,Software,,5.0,0.0,130000.0,0.0,13000.0,5000,,3/21/2016 13:26,other
265,directv/at&t,CA,US,33.99,-118.39,application engineer,Engineering,,5.0,4.0,79000.0,0.0,10000.0,0,"Easy job, lots of training. But things might change when AT&T starts taking over.",3/21/2016 13:26,other
267,facebook,,,,,software engineer,Software,,3.0,1.0,150000.0,50000.0,15000.0,100000,,3/21/2016 13:26,other
268,accretive technology group,,,,,software developer,Software,,1.0,1.0,75000.0,0.0,2000.0,0,,3/21/2016 13:26,other
273,sunpower,CA,US,37.96,-122.38,financial engineer,Engineering,,0.0,1.0,87000.0,0.0,8000.0,0,Mainly software for finance,3/21/2016 13:26,other
276,mri software llc,OH,US,41.38,-81.44,software engineer,Software,,3.0,1.0,48500.0,,,,,3/21/2016 13:27,other
277,amazon,,,,,sde,Software,,4.0,4.0,91000.0,20000.0,0.0,35000,,3/21/2016 13:27,other
279,pricespy,,SE,62.0,15.0,agent developer,Software,,0.0,1.0,300000.0,0.0,0.0,0,,3/21/2016 13:27,other
280,-,,,,,senior security engineer,Engineering,Senior,12.0,3.0,115000.0,0.0,46000.0,0,,3/21/2016 13:27,overDecade
282,microsoft,,,,,sde ii,Software,2,3.0,3.0,145000.0,50000.0,28000.0,,,3/21/2016 13:27,other
283,synapticon,,,,,robotics/embedded systems engineer,Engineering,,0.0,0.0,43000.0,0.0,0.0,0,5 years old company,3/21/2016 13:27,other
287,dropbox,,,,,software engineer,Software,,5.0,2.5,140.0,30.0,0.0,,,3/21/2016 13:27,other
292,quattro folia,,,,,senior software engineer,Software,Senior,9.0,1.0,6000.0,6000.0,0.0,0,,3/21/2016 13:27,other
294,justice systems,NM,US,35.11,-106.62,software engineer,Software,,2.0,1.0,51000.0,0.0,0.0,0,,3/21/2016 13:27,other
297,google,,,,,software engineer ii,Software,2,2.0,2.0,131000.0,15000.0,20000.0,50000,,3/21/2016 13:28,other
301,apple,,,,,data engineer/software engineer,Data,,6.0,2.5,145000.0,25000.0,20.0,100k $ annually,,3/21/2016 13:28,other
302,pariveda solutions,,,,,consultant 2,Other,2,2.0,2.0,77000.0,5000.0,0.0,0,,3/21/2016 13:28,other
305,a stealth startup,WA,US,38.0,-97.0,lead,Other,,17.0,1.0,175000.0,0.0,10000.0,0,,3/21/2016 13:28,overDecade
306,vmware,,,,,member of technical staff,Other,,4.0,3.0,125000.0,40000.0,16000.0,,,3/21/2016 13:28,other
311,myself,,FR,46.0,2.0,3d graphics engineer,Engineering,,5.0,1.5,15000.0,,,,4,3/21/2016 13:28,other
313,iqmetrix,,CA,60.0,-95.0,software developer,Software,,0.0,1.0,55000.0,0.0,0.0,0,,3/21/2016 13:29,other
317,delaware north,NY,US,42.88,-78.85,data visualization engineer,Data,,3.0,0.0,80000.0,,,,,3/21/2016 13:29,other
318,pindrop,,,,,operations engineer,Engineering,,4.0,1.0,85000.0,,8500.0,,,3/21/2016 13:29,other
319,twitter,,,,,senior software engineer,Software,Senior,8.0,1.0,170000.0,0.0,0.0,35000,,3/21/2016 13:29,other
324,series c saas provider,CA,US,37.77,-122.41,full stack engineer,Web,,16.0,2.0,132000.0,0.0,0.0,0,,3/21/2016 13:29,overDecade
325,garmin,KS,US,38.88,-94.81,software engineer 2,Software,2,2.75,2.75,72200.0,4000.0,0.0,0,No annual stock bonus but you get offered an ESPP with discounted stock rates that guarantees a 15% return on up to 10% invested every 6 months. 75 cents on the dollar 401k matching and a an additional 5% of your base salary added to it for free. Rest of the benefits are great as well. Boring to work for.,3/21/2016 13:29,other
326,of oklahoma,OK,US,35.22,-97.34,it support technician iii,Other,3,16.0,14.0,37500.0,0.0,0.0,0,,3/21/2016 13:29,overDecade
327,aig,CT,US,41.18,-73.42,microsoft developer for release management (grade 22),Software,,20.0,2.0,165000.0,20000.0,0.0,0,,3/21/2016 13:29,overDecade
329,picwell,,,,,data scientist,Data,,2.0,1.0,75000.0,0.0,0.0,0,,3/21/2016 13:30,other
337,nope,,US,38.0,-97.0,software developer,Software,,5.0,4.0,61000.0,1000.0,1000.0,0,,3/21/2016 13:30,other
340,amazon,WA,US,47.61,-122.33,sde i,Software,1,2.0,0.5,105000.0,30000.0,,,,3/21/2016 13:30,other
342,igs energy,OH,US,39.98,-82.98,application developer,Software,,3.0,1.0,65000.0,0.0,5000.0,0,,3/21/2016 13:30,other
347,software company,,,,,ceo,Management,,10.0,2.0,100000.0,,,,,3/21/2016 13:30,other
351,spotx,CO,US,39.82,-105.1,software engineer,Software,,7.0,2.0,84000.0,1500.0,1500.0,0,,3/21/2016 13:31,other
352,solarcity,,,,,software engineer,Software,,3.0,2.0,120000.0,0.0,0.0,30000,,3/21/2016 13:31,other
355,perk,TX,US,30.26,-97.74,developer,Software,,2.0,0.0,54000.0,2500.0,0.0,0,,3/21/2016 13:31,other
358,building robotics,CA,US,37.72,-122.2,senior backend engineer,Engineering,Senior,9.0,2.0,145000.0,,,,,3/21/2016 13:31,other
363,pomeroy,,,,,solutions architect,Other,,23.0,2.0,130000.0,,10000.0,0,,3/21/2016 13:31,overDecade
364,ibm,CA,US,32.71,-117.16,software developer,Software,,9.0,8.0,151000.0,15000.0,5000.0,5000,,3/21/2016 13:31,other
365,quicken loans,MI,US,42.38,-83.1,sr. software engineer,Software,Senior,5.0,3.0,82000.0,0.0,13000.0,0,,3/21/2016 13:32,other
366,bank,,SE,62.0,15.0,junior developer,Software,Junior,1.0,1.0,48000.0,0.0,3000.0,3000 USD,,3/21/2016 13:32,other
367,ericsson,,,,,support engineer,Engineering,,3.0,3.0,62568.0,0.0,0.0,0,,3/21/2016 13:32,other
368,goldman sachs,,,,,analyst (technology),Data,,0.0,0.0,60000.0,13000.0,5000.0,0,Amounts converted from GBP to USD,3/21/2016 13:32,other
371,of washington,WA,US,47.61,-122.33,data scientist,Data,,10.0,4.0,101000.0,0.0,0.0,0,,3/21/2016 13:32,other
373,verizon,,,,,internal help desk,Other,Intern,4.0,4.0,38000.0,0.0,3000.0,,,3/21/2016 13:32,other
374,state of oregon,OR,US,38.0,-97.0,senior software developer,Software,Senior,10.0,5.0,80000.0,0.0,0.0,0,,3/21/2016 13:32,other
378,evertec,,PR,18.25,-66.5,software developer,Software,,2.5,1.5,40000.0,,2.0,,,3/21/2016 13:33,other
379,nist,MD,US,39.14,-77.21,postdoc,Other,,7.0,1.0,67000.0,0.0,0.0,0,,3/21/2016 13:33,other
386,emc,,,,,senior sde,Software,Senior,5.0,5.0,132000.0,10000.0,15000.0,47600,,3/21/2016 13:33,other
387,bank,,PL,52.0,20.0,data mining analyst,Data,,6.0,5.0,30000.0,0.0,0.0,0,,3/21/2016 13:33,other
388,digital agency,,,,,analyst,Data,,3.0,2.0,80000.0,0.0,1000.0,0,,3/21/2016 13:33,other
389,nasdaq,,,,,engineer,Engineering,,8.0,6.0,105000.0,,21000.0,21000,Stock doesnt seem to vest on a consistent schedule. Right now seems to be a 25/25/50% vest over 3 years.,3/21/2016 13:33,other
390,microsoft,,,,,sde 2,Software,2,5.0,3.0,125000.0,5000.0,14000.0,3000,,3/21/2016 13:33,other
391,bi esfera,,PY,-23.0,-58.0,senior developer,Software,Senior,10.0,4.0,38400.0,0.0,3200.0,0,,3/21/2016 13:33,other
393,guidewire,,IE,53.0,-8.0,consultant,Other,,4.0,3.0,42000.0,0.0,6300.0,"âÂ20,000",,3/21/2016 13:34,other
394,spotify,,,,,engineer,Engineering,,10.0,2.0,187500.0,10.0,,20000,,3/21/2016 13:34,other
395,new york mets,NE,US,38.0,-97.0,pitcher,Other,,20.0,3.0,1000000.0,4500000.0,500000.0,0,Bartolo Colon,3/21/2016 13:34,overDecade
399,ticket broker,CA,US,38.0,-97.0,chief of technology,Other,,15.0,3.0,125000.0,0.0,6000.0,8000,,3/21/2016 13:34,overDecade
401,ibm canada,,CA,60.0,-95.0,peoplesoft administrator,Management,,15.0,10.0,112000.0,0.0,0.0,0,,3/21/2016 13:34,overDecade
402,microsoft,,,,,software engineer,Software,,1.0,1.0,105000.0,10000.0,,,,3/21/2016 13:34,other
403,freelance/consulting,,CA,60.0,-95.0,software engineer,Software,,9.0,7.0,270000.0,,,,,3/21/2016 13:34,other
405,cisco,,CA,60.0,-95.0,software engineer,Software,,15.0,3.0,110000.0,0.0,14000.0,20000,,3/21/2016 13:35,overDecade
406,boutique development consulting,CO,US,39.82,-105.1,consultant,Other,,4.0,1.0,88000.0,,4500.0,,,3/21/2016 13:35,other
407,self-employed,,CA,60.0,-95.0,consultant,Other,,10.0,,180000.0,,,,,3/21/2016 13:35,other
410,test,,,,,test,Other,,2.0,2.0,80000.0,0.0,0.0,0,,3/21/2016 13:35,other
411,missouri  of science and technology,MO,US,37.94,-91.76,secondary cluster administrator,Management,,3.0,1.0,43000.0,0.0,0.0,0,,3/21/2016 13:35,other
415,non-profit,,,,,techops manager,Management,,5.0,3.0,28800.0,0.0,500.0,0,,3/21/2016 13:35,other
416,canonical,,,,,software engineer,Software,,10.0,1.0,120000.0,0.0,0.0,0,,3/21/2016 13:35,other
417,solidfire,CO,US,40.02,-105.25,senior software engineer,Software,Senior,4.0,2.0,113000.0,0.0,9000.0,15000,Recently acquired by NetApp,3/21/2016 13:35,other
420,zillow group,,,,,senior software engineer,Software,Senior,5.0,2.0,145000.0,10000.0,0.0,10000,,3/21/2016 13:36,other
423,stealth startup,,,,,programmer,Other,,15.0,1.0,175000.0,0.0,0.0,0,,3/21/2016 13:36,overDecade
428,microsoft,,,,,sde ii,Software,2,11.0,4.0,102000.0,6000.0,13000.0,22000,,3/21/2016 13:36,overDecade
429,google,,,,,software engineer,Software,,4.0,1.0,130000.0,20000.0,20000.0,"40,000","negotiated from 0 signing bonus to 20k, and from 160 GSUs to 200",3/21/2016 13:36,other
432,microsoft,,,,,product manager,Management,,0.0,1.0,105000.0,20000.0,0.0,20000,,3/21/2016 13:36,other
433,facebook,,,,,data scientist,Data,,4.0,4.0,206000.0,50000.0,50000.0,100000,,3/21/2016 13:36,other
434,ibm,,,,,managing consultant,Other,,10.0,10.0,123000.0,2000.0,1000.0,0,,3/21/2016 13:36,other
435,amazon,WA,US,47.61,-122.33,sr. product manager,Management,Senior,7.0,2.7,128000.0,50000.0,,70000,,3/21/2016 13:36,other
440,sfdc,,,,,principle member of technical staff,Other,,13.0,3.0,156000.0,60000.0,40000.0,25000,,3/21/2016 13:37,overDecade
441,microsoft,WA,US,47.61,-122.33,software development engineer,Software,,10.0,10.0,190000.0,0.0,65000.0,68000,,3/21/2016 13:37,other
443,simplotel,,IN,20.0,77.0,senior software engineer,Software,Senior,3.5,1.0,18000.0,0.0,,2250,,3/21/2016 13:37,other
445,interactive development agency,,,,,software developer,Software,,2.0,2.0,60000.0,0.0,0.0,0,,3/21/2016 13:37,other
446,popsugar,CA,US,37.77,-122.41,senior software engineer,Software,Senior,12.0,1.0,135000.0,0.0,0.0,0,,3/21/2016 13:37,overDecade
447,facebook,,,,,software engineer,Software,,3.0,1.0,152000.0,22000.0,15000.0,80000,,3/21/2016 13:37,other
449,amazon,,,,,software development engineer ii,Software,2,6.0,6.0,675000.0,,,"ZAR 675,000",Total value of RSUs dependent on USD / ZAR exchange rate and value of NASDAQ:AMZN. Grows roughly 20% YoY,3/21/2016 13:37,other
451,med size us based it co.,,,,,software engineer,Software,,6.0,2.0,45000.0,,5.0,,,3/21/2016 13:38,other
453,google,,,,,web solutions engineer,Web,,8.0,4.0,88000.0,0.0,15000.0,35000,WSE is not a SWE,3/21/2016 13:38,other
454,intergen,,,,,senior developer,Software,Senior,6.0,2.0,90000.0,,,,,3/21/2016 13:38,other
457,epam systems,,,,,lead software engineer,Software,,5.0,2.0,130000.0,0.0,20000.0,,,3/21/2016 13:38,other
459,self,,,,,consultant,Other,,15.0,1.0,275000.0,0.0,0.0,0,,3/21/2016 13:38,overDecade
464,google,,,,,analyst,Data,,7.0,4.0,101000.0,7500.0,15000.0,50000,,3/21/2016 13:38,other
