Content_ID,Platform,MAU_Millions,Revenue_USD_M,User_Rating
K110,Naver Webtoon,2.69,29.97,2.3
K110,KakaoPage,4.74,44.74,3.2
K111,Naver Webtoon,13.39,2.82,3.0
K112,Naver Webtoon,1.63,38.54,4.8
K112,Lezhin,0.86,21.26,3.0
K113,Kakao Games,3.2,12.72,3.4
K114,Steam,,,
K115,Disney+,23.78,7.59,2.5
K116,Kakao Games,,,
K116,Google Play,0.3,123.16,3.1
K116,Nexon,,,
K117,Nexon,4.24,43.45,3.9
K118,Lezhin,3.43,4.46,5.0
K118,KakaoPage,1.48,34.88,3.8
K119,Google Play,4.54,11.78,4.7
K120,Wavve,4.37,11.48,2.6
K121,Nexon,4.34,41.6,2.2
K122,Nexon,2.6,74.7,3.4
K122,Steam,0.32,25.6,3.7
K123,KakaoPage,13.35,8.44,2.5
K124,KakaoPage,1.1,51.64,3.2
K125,Lezhin,2.06,1.29,2.5
K125,Naver Webtoon,11.42,1.37,2.7
K125,KakaoPage,15.98,13.14,4.0
K126,Disney+,2.65,52.88,2.7
K127,Nexon,7.31,5.24,2.7
K128,Kakao Games,9.12,88.66,3.2
K129,KakaoPage,6.99,55.14,2.6
K130,Disney+,8.11,0.65,2.3
K130,Netflix,3.29,11.65,2.1
K131,Netflix,,,
K132,Naver Webtoon,6.21,27.36,4.7
K132,KakaoPage,1.28,85.03,3.0
K133,KakaoPage,2.22,44.62,2.8
K134,KakaoPage,1.1,48.93,3.2
K135,Kakao Games,0.56,17.44,4.8
K136,KakaoPage,24.45,72.11,2.4
K136,Naver Webtoon,4.32,112.48,4.4
K137,Netflix,,,
K138,Tving,13.51,27.69,2.1
K138,Netflix,6.1,50.18,2.8
K139,KakaoPage,0.81,7.5,4.5
K140,Nexon,4.57,9.42,2.8
K141,Google Play,6.34,0.93,4.7
K141,Steam,5.45,16.01,3.7
K142,Naver Webtoon,1.68,52.69,4.5
K142,Lezhin,5.79,45.88,4.0
K142,KakaoPage,11.97,9.64,4.7
K143,Tving,0.71,36.59,2.1
K144,KakaoPage,1.25,9.09,4.2
K144,Naver Webtoon,5.4,14.08,3.2
K145,Lezhin,2.11,17.03,3.1
K146,Lezhin,1.69,41.78,3.4
K147,Disney+,12.85,54.48,4.8
K148,Wavve,1.9,1.58,2.8
K149,KakaoPage,9.03,45.2,2.2
K149,Naver Webtoon,57.98,20.34,4.3
K150,Lezhin,4.07,5.64,2.2
K151,Nexon,4.33,58.3,3.3
K152,KakaoPage,26.33,14.14,4.5
K153,Lezhin,,,
K153,KakaoPage,,,
K154,Wavve,8.44,15.88,3.8
K155,Google Play,11.85,22.39,2.3
K156,Lezhin,4.16,10.24,3.6
K157,Tving,8.34,103.16,4.2
K158,tvN,7.84,58.93,4.5
K159,Naver Webtoon,13.21,14.36,3.5
K160,tvN,6.89,9.96,3.7
K160,Tving,5.52,123.54,2.1
K161,KakaoPage,1.52,129.11,4.9
K162,Wavve,12.85,144.36,3.4
K163,Wavve,4.61,19.22,4.5
K164,Wavve,4.62,1.89,3.8
K164,Tving,2.9,4.0,4.1
K164,Disney+,3.29,20.77,4.2
K165,Lezhin,3.72,38.77,4.4
K166,Nexon,2.89,19.19,3.9
K167,KakaoPage,5.85,13.26,2.1
K168,Lezhin,10.91,102.05,2.1
K168,KakaoPage,4.87,139.9,4.4
K169,KakaoPage,13.01,309.11,3.1
K170,Tving,2.67,32.68,3.9
K171,Netflix,18.34,103.45,5.0
K172,Naver Webtoon,2.87,27.35,4.2
K172,KakaoPage,19.17,13.64,2.3
K173,Disney+,1.17,17.57,2.7
K174,Naver Webtoon,1.79,2.15,2.1
K175,Disney+,,,
K176,KakaoPage,4.33,24.25,4.0
K176,Lezhin,5.66,12.31,4.8
K177,Wavve,11.99,144.78,3.4
K178,Naver Webtoon,3.62,47.52,2.5
K178,KakaoPage,,,
K178,Lezhin,5.29,46.79,3.5
K179,Kakao Games,7.33,13.11,2.5
K180,Naver Webtoon,2.4,75.61,3.1
K181,Naver Webtoon,,,
K181,Lezhin,2.57,2.98,4.9
K181,KakaoPage,18.55,59.54,2.5
K182,Naver Webtoon,2.53,84.6,2.7
K183,Kakao Games,5.49,44.94,3.7
K184,Nexon,0.98,4.8,4.6
K185,Lezhin,2.43,109.8,4.9
K185,KakaoPage,3.04,99.07,4.4
K186,Tving,8.66,4.55,3.2
K186,Disney+,33.46,23.32,2.8
K186,Netflix,4.34,4.23,2.7
K187,Steam,26.97,57.48,2.2
K187,Kakao Games,4.41,32.75,3.8
K188,Wavve,14.71,87.06,3.0
K189,Wavve,8.86,15.53,4.6
K190,Lezhin,28.41,79.83,4.0
K190,KakaoPage,10.18,59.78,4.0
K190,Naver Webtoon,7.44,48.2,4.3
K191,Lezhin,3.79,20.41,4.2
K191,KakaoPage,5.19,8.76,4.5
K192,Steam,4.61,0.32,2.9
K193,Nexon,16.09,47.98,4.9
K194,Disney+,1.15,50.26,3.6
K195,Lezhin,9.45,75.67,2.3
K196,KakaoPage,,,
K196,Naver Webtoon,5.75,164.83,3.0
K197,SBS,21.7,50.07,4.8
K198,Google Play,2.87,17.9,4.1
K198,Nexon,5.44,3.49,3.7
K199,Kakao Games,,,
K199,Google Play,14.81,2.34,4.6
K200,SBS,0.98,181.51,4.9
