Content_ID,Platform,Monetization,Exclusive_YN
K098,Wavve,Freemium,Y
K099,Naver Webtoon,Freemium,N
K099,KakaoPage,Premium,N
K100,Lezhin,Freemium,Y
K101,Naver Webtoon,Premium,Y
K102,Disney+,AVOD,N
K102,Wavve,Freemium,N
K103,Naver Webtoon,Freemium,Y
K104,Disney+,Freemium,Y
K105,Kakao Games,AVOD,Y
K106,Lezhin,AVOD,Y
K107,Wavve,Freemium,N
K107,Disney+,SVOD,N
K108,Tving,Freemium,N
K108,SBS,AVOD,N
K109,Naver Webtoon,SVOD,N
K109,Lezhin,AVOD,N
K110,Lezhin,Premium,N
K110,Naver Webtoon,AVOD,N
K110,KakaoPage,Premium,N
K111,Naver Webtoon,AVOD,Y
K112,Naver Webtoon,Premium,N
K112,Lezhin,AVOD,N
K113,Kakao Games,SVOD,Y
K114,Steam,Premium,Y
K115,Disney+,Freemium,Y
K116,Kakao Games,Premium,N
K116,Google Play,AVOD,N
K116,Nexon,Premium,N
K117,Nexon,Freemium,Y
K118,Lezhin,AVOD,N
K118,KakaoPage,Freemium,N
K119,Google Play,AVOD,Y
K120,Wavve,SVOD,Y
K121,Nexon,Premium,Y
K122,Nexon,Premium,N
K122,Steam,Premium,N
K123,KakaoPage,Premium,Y
K124,KakaoPage,Premium,Y
K125,Lezhin,Premium,N
K125,Naver Webtoon,SVOD,N
K125,KakaoPage,Freemium,N
K126,Disney+,Premium,Y
K127,Nexon,Premium,Y
K128,Kakao Games,Premium,Y
K129,KakaoPage,Premium,Y
K130,Disney+,SVOD,N
K130,Netflix,Premium,N
K131,Netflix,SVOD,Y
K132,Naver Webtoon,AVOD,N
K132,KakaoPage,SVOD,N
K133,KakaoPage,AVOD,Y
K134,KakaoPage,Premium,Y
K135,Kakao Games,Freemium,Y
K136,KakaoPage,SVOD,N
K136,Naver Webtoon,Freemium,N
K137,Netflix,SVOD,Y
K138,Tving,SVOD,N
K138,Netflix,AVOD,N
K139,KakaoPage,SVOD,Y
K140,Nexon,Premium,Y
K141,Google Play,SVOD,N
K141,Steam,AVOD,N
K142,Naver Webtoon,Premium,N
K142,Lezhin,Premium,N
K142,KakaoPage,AVOD,N
K143,Tving,SVOD,Y
K144,KakaoPage,SVOD,N
K144,Naver Webtoon,Freemium,N
K145,Lezhin,Freemium,Y
K146,Lezhin,Freemium,Y
K147,Disney+,Premium,Y
K148,Wavve,Premium,Y
K149,KakaoPage,Freemium,N
K149,Naver Webtoon,Premium,N
K150,Lezhin,Freemium,Y
K151,Nexon,SVOD,Y
K152,KakaoPage,AVOD,Y
K153,Lezhin,Freemium,N
K153,KakaoPage,SVOD,N
K154,Wavve,AVOD,Y
K155,Google Play,Freemium,Y
K156,Lezhin,Freemium,Y
K157,Tving,SVOD,Y
K158,tvN,Premium,Y
K159,Naver Webtoon,Premium,Y
K160,tvN,SVOD,N
K160,Tving,SVOD,N
K161,KakaoPage,AVOD,Y
K162,Wavve,Premium,Y
K163,Wavve,Premium,Y
K164,Wavve,Freemium,N
K164,Tving,Freemium,N
K164,Disney+,Freemium,N
K165,Lezhin,AVOD,Y
K166,Nexon,AVOD,Y
K167,KakaoPage,Freemium,Y
K168,Lezhin,SVOD,N
K168,KakaoPage,AVOD,N
K169,KakaoPage,AVOD,Y
K170,Tving,Freemium,Y
K171,Netflix,Freemium,Y
K172,Naver Webtoon,SVOD,N
K172,KakaoPage,SVOD,N
K173,Disney+,Premium,Y
K174,Naver Webtoon,SVOD,Y
K175,Disney+,SVOD,Y
K176,KakaoPage,SVOD,N
K176,Lezhin,SVOD,N
K177,Wavve,SVOD,Y
K178,Naver Webtoon,Premium,N
K178,KakaoPage,Premium,N
K178,Lezhin,Premium,N
K179,Kakao Games,Freemium,Y
K180,Naver Webtoon,SVOD,Y
K181,Naver Webtoon,SVOD,N
K181,Lezhin,AVOD,N
K181,KakaoPage,AVOD,N
K182,Naver Webtoon,AVOD,Y
K183,Kakao Games,Premium,Y
K184,Nexon,Freemium,Y
K185,Lezhin,SVOD,N
K185,KakaoPage,AVOD,N
K186,Tving,AVOD,N
K186,Disney+,AVOD,N
K186,Netflix,Freemium,N
K187,Steam,AVOD,N
K187,Kakao Games,Freemium,N
K188,Wavve,Premium,Y
K189,Wavve,Premium,Y
K190,Lezhin,SVOD,N
K190,KakaoPage,SVOD,N
K190,Naver Webtoon,Premium,N
K191,Lezhin,SVOD,N
K191,KakaoPage,SVOD,N
K192,Steam,Freemium,Y
K193,Nexon,Premium,Y
K194,Disney+,Freemium,Y
K195,Lezhin,Premium,Y
K196,KakaoPage,Premium,N
K196,Naver Webtoon,Freemium,N
K197,SBS,SVOD,Y
K198,Google Play,Premium,N
K198,Nexon,Freemium,N
K199,Kakao Games,SVOD,N
K199,Google Play,Premium,N
K200,SBS,Freemium,Y
